Pattern Groups For Guesses From The Large Vocabulary Wordslist (14855) Into Wordlebot’s Possible Solutions List  (11/05/2024)											
							
guess	qty	ent min max ave exp p2
opine	118	5.027	1	443	27.03	179.30	4,115.31
romal	120	5.027	1	457	26.58	179.71	4,069.54
traik	119	5.027	1	500	26.80	185.06	4,241.05
fried	133	5.027	1	561	23.98	200.44	4,231.01
nerds	106	5.026	1	423	30.09	160.61	3,926.89
yodle	105	5.026	1	414	30.37	169.73	4,232.61
tatie	112	5.026	1	400	28.47	171.16	4,062.64
haere	99	5.026	1	490	32.21	175.89	4,628.09
sprad	108	5.026	1	505	29.53	182.86	4,527.45
dogie	118	5.026	1	459	27.03	184.95	4,267.99
plaur	115	5.026	1	510	27.73	185.38	4,371.81
minar	115	5.026	1	501	27.73	187.25	4,423.45
daily	116	5.026	1	541	27.49	189.09	4,442.61
coble	119	5.026	1	484	26.80	201.09	4,670.85
crits	107	5.026	1	598	29.80	201.89	5,128.87
boers	111	5.025	1	409	28.73	180.11	4,349.06
armil	113	5.025	1	455	28.22	180.21	4,289.22
pelon	113	5.025	1	454	28.22	181.62	4,329.15
grope	120	5.025	1	493	26.58	187.30	4,271.38
karst	108	5.025	1	589	29.53	197.91	4,971.88
print	120	5.025	1	638	26.58	217.04	5,061.53
towie	93	5.024	1	396	34.29	168.34	4,596.59
apery	120	5.024	1	396	26.58	171.83	3,860.04
herns	107	5.024	1	411	29.80	174.95	4,325.88
tyran	109	5.024	1	460	29.26	175.57	4,280.59
harls	100	5.024	1	474	31.89	176.10	4,598.74
troak	113	5.024	1	457	28.22	180.10	4,286.14
balot	129	5.024	1	535	24.72	194.90	4,206.87
tacos	111	5.023	1	488	28.73	177.00	4,259.76
copes	115	5.023	1	417	27.73	179.40	4,205.85
heils	109	5.023	1	470	29.26	185.28	4,564.78
peons	113	5.023	1	491	28.22	188.07	4,511.23
epact	120	5.023	1	501	26.58	190.14	4,346.69
saser	99	5.022	1	442	32.21	163.08	4,215.50
pesto	117	5.022	1	447	27.26	183.84	4,267.88
parve	116	5.022	1	511	27.49	185.26	4,337.22
cadge	110	5.022	1	488	28.99	185.87	4,548.10
probe	107	5.022	1	503	29.80	187.08	4,687.28
sidhe	117	5.022	1	509	27.26	189.08	4,410.79
clime	118	5.022	1	492	27.03	198.07	4,622.62
shirt	125	5.022	1	654	25.51	230.57	5,231.51
mesia	116	5.021	1	346	27.49	167.79	3,857.04
vitae	110	5.021	1	397	28.99	167.98	4,029.43
volae	113	5.021	1	371	28.22	168.65	3,963.06
stend	110	5.021	1	465	28.99	179.54	4,364.59
dirke	112	5.021	1	526	28.47	183.91	4,425.86
adieu	89	5.020	1	356	35.83	150.54	4,110.21
ashen	103	5.020	1	346	30.96	156.38	3,883.26
coude	111	5.020	1	447	28.73	185.70	4,509.78
cease	101	5.020	1	492	31.57	186.52	4,892.40
gripe	119	5.020	1	507	26.80	193.18	4,458.82
sprit	128	5.020	1	640	24.91	219.26	4,841.95
sluit	122	5.020	1	702	26.14	232.38	5,390.92
raser	103	5.019	1	442	30.96	163.02	4,088.70
nosey	110	5.019	1	371	28.99	164.66	3,933.14
cosey	104	5.019	1	356	30.66	167.49	4,195.43
wiser	113	5.019	1	454	28.22	172.07	4,059.73
fetal	126	5.019	1	429	25.31	187.06	4,093.88
usnea	97	5.018	1	299	32.88	151.03	3,884.31
incel	111	5.018	1	425	28.73	172.11	4,119.19
duars	101	5.018	1	451	31.57	173.50	4,481.16
dopes	114	5.018	1	463	27.97	179.50	4,238.62
party	129	5.018	1	541	24.72	193.90	4,182.31
mouse	112	5.018	1	543	28.47	200.50	4,898.28
terce	118	5.018	1	589	27.03	203.05	4,757.19
riyal	112	5.017	1	380	28.47	166.54	3,931.20
plyer	114	5.017	1	408	27.97	167.05	3,890.45
segol	107	5.017	1	440	29.80	177.60	4,404.81
genro	119	5.017	1	447	26.80	185.85	4,262.28
anils	116	5.017	1	514	27.49	189.72	4,459.94
sapid	115	5.017	1	541	27.73	191.80	4,549.61
molue	114	5.017	1	500	27.97	193.00	4,616.29
speil	122	5.017	1	500	26.14	198.89	4,515.60
rokes	95	5.016	1	404	33.57	160.85	4,272.56
mahoe	100	5.016	1	410	31.89	164.09	4,215.98
waide	102	5.016	1	428	31.27	167.70	4,265.76
riche	111	5.016	1	465	28.73	181.45	4,387.66
bayle	122	5.016	1	418	26.14	181.55	4,062.37
rente	106	5.016	1	544	30.09	187.05	4,722.34
drupe	119	5.016	1	555	26.80	192.09	4,429.52
trams	110	5.016	1	564	28.99	192.88	4,751.39
praty	123	5.016	1	541	25.93	193.51	4,344.78
clued	120	5.016	1	536	26.58	195.46	4,488.18
thars	121	5.016	1	561	26.36	206.45	4,746.43
cogie	106	5.015	1	477	30.09	183.57	4,617.66
tronc	114	5.015	1	576	27.97	197.31	4,737.04
claut	122	5.015	1	600	26.14	207.31	4,735.64
poake	112	5.014	1	396	28.47	167.23	3,950.95
easel	103	5.014	1	461	30.96	168.61	4,261.84
velar	121	5.014	1	437	26.36	175.21	3,923.14
ontal	115	5.014	1	423	27.73	175.90	4,108.72
bones	109	5.014	1	409	29.26	177.43	4,335.03
serif	110	5.014	1	440	28.99	178.85	4,344.43
teaks	110	5.014	1	431	28.99	180.80	4,400.99
argol	125	5.014	1	454	25.51	182.43	4,003.19
mosed	110	5.014	1	473	28.99	182.99	4,464.48
doits	110	5.014	1	554	28.99	186.44	4,564.68
sehri	102	5.013	1	390	31.27	169.89	4,333.98
wanes	107	5.013	1	419	29.80	170.41	4,190.59
nodal	115	5.013	1	473	27.73	180.65	4,240.58
amuse	116	5.013	1	463	27.49	186.40	4,368.66
costa	108	5.013	1	488	29.53	187.15	4,654.29
pince	122	5.013	1	510	26.14	206.78	4,721.94
lobes	116	5.012	1	412	27.49	171.11	3,948.16
dices	107	5.012	1	474	29.80	176.08	4,359.45
flote	118	5.012	1	425	27.03	178.82	4,102.38
legit	114	5.012	1	465	27.97	191.74	4,581.20
flite	132	5.012	1	500	24.16	196.01	4,151.72
chair	120	5.012	1	544	26.58	204.94	4,740.01
agers	101	5.011	1	358	31.57	164.81	4,206.98
ulnar	105	5.011	1	431	30.37	169.02	4,211.05
style	102	5.011	1	400	31.27	170.84	4,363.86
talea	106	5.011	1	447	30.09	172.48	4,283.98
detag	107	5.011	1	442	29.80	178.27	4,424.94
payed	114	5.011	1	435	27.97	178.82	4,219.64
harns	106	5.011	1	515	30.09	183.79	4,624.21
grein	124	5.011	1	465	25.72	196.05	4,380.44
nepit	119	5.011	1	475	26.80	196.67	4,552.18
warst	120	5.011	1	605	26.58	205.52	4,755.38
rowen	116	5.010	1	459	27.49	181.21	4,226.03
mines	114	5.010	1	440	27.97	182.50	4,322.73
carer	115	5.010	1	505	27.73	185.45	4,373.69
cents	101	5.010	1	484	31.57	186.76	4,899.95
meils	114	5.010	1	456	27.97	188.41	4,487.87
tehrs	112	5.009	1	457	28.47	186.31	4,494.02
dewar	119	5.009	1	502	26.80	187.22	4,298.92
pucer	128	5.009	1	504	24.91	193.67	4,204.39
spirt	127	5.009	1	640	25.11	220.76	4,912.74
sherd	111	5.008	1	503	28.73	188.58	4,592.52
pecan	119	5.008	1	431	26.80	188.63	4,336.83
raved	117	5.008	1	535	27.26	188.85	4,404.40
routs	113	5.008	1	561	28.22	194.14	4,682.46
clary	124	5.008	1	505	25.72	194.15	4,331.64
piets	114	5.008	1	525	27.97	209.20	5,069.69
stoai	99	5.007	1	383	32.21	168.69	4,396.09
yenta	107	5.007	1	449	29.80	170.57	4,195.35
feuar	114	5.007	1	381	27.97	176.01	4,141.20
siver	111	5.007	1	483	28.73	176.81	4,254.31
payor	113	5.007	1	474	28.22	179.67	4,273.98
piley	121	5.007	1	448	26.36	189.08	4,288.69
spide	112	5.007	1	532	28.47	193.31	4,693.52
prude	120	5.007	1	555	26.58	194.13	4,452.73
cants	107	5.007	1	620	29.80	202.76	5,154.70
wried	123	5.007	1	577	25.93	206.82	4,689.94
sorer	104	5.006	1	474	30.66	177.42	4,499.97
ayont	109	5.006	1	471	29.26	185.87	4,581.97
caese	100	5.006	1	492	31.89	191.50	5,089.98
groan	130	5.006	1	495	24.53	197.24	4,236.73
capot	121	5.006	1	538	26.36	197.33	4,506.13
seine	117	5.006	1	563	27.26	198.76	4,674.67
toady	106	5.005	1	454	30.09	169.07	4,181.30
garis	113	5.005	1	469	28.22	174.79	4,136.46
erose	97	5.005	1	474	32.88	175.50	4,688.83
derny	116	5.005	1	445	27.49	180.61	4,209.37
apron	119	5.005	1	446	26.80	185.25	4,246.13
lotah	112	5.005	1	497	28.47	187.92	4,539.89
sowle	112	5.005	1	465	28.47	189.34	4,580.37
pelts	124	5.005	1	469	25.72	192.27	4,283.46
gloat	122	5.005	1	516	26.14	194.24	4,394.09
urali	101	5.004	1	336	31.57	154.25	3,873.55
uredo	99	5.004	1	415	32.21	168.67	4,395.44
aller	98	5.004	1	447	32.54	169.37	4,452.62
ultra	110	5.004	1	426	28.99	169.56	4,075.25
daisy	106	5.004	1	478	30.09	175.79	4,383.55
boars	114	5.004	1	470	27.97	179.95	4,251.45
patio	124	5.004	1	383	25.72	180.89	3,990.67
deity	115	5.004	1	444	27.73	184.77	4,354.81
noble	114	5.004	1	448	27.97	186.55	4,435.89
brain	124	5.004	1	513	25.72	191.09	4,252.88
coaly	120	5.004	1	543	26.58	193.29	4,430.53
boule	122	5.004	1	512	26.14	201.85	4,593.07
ogres	96	5.003	1	398	33.22	159.19	4,184.48
cesti	100	5.003	1	438	31.89	181.13	4,759.26
enols	102	5.003	1	511	31.27	181.29	4,690.41
spode	110	5.003	1	463	28.99	182.07	4,438.05
torte	112	5.003	1	495	28.47	183.81	4,422.89
augen	121	5.003	1	381	26.36	184.75	4,174.46
feats	114	5.003	1	436	27.97	187.09	4,451.18
grain	127	5.003	1	518	25.11	196.31	4,298.95
fayre	111	5.002	1	363	28.73	164.07	3,888.38
atter	109	5.002	1	455	29.26	171.46	4,160.50
dirls	106	5.002	1	434	30.09	175.15	4,364.32
cloye	98	5.002	1	470	32.54	176.50	4,684.47
pryse	107	5.002	1	432	29.80	177.45	4,400.27
ornis	109	5.002	1	485	29.26	179.13	4,384.78
marls	107	5.002	1	507	29.80	183.40	4,577.80
meath	120	5.002	1	478	26.58	196.20	4,507.78
coped	117	5.002	1	533	27.26	198.84	4,676.62
porin	119	5.002	1	582	26.80	201.58	4,683.79
shute	123	5.002	1	541	25.93	230.34	5,299.66
largo	115	5.001	1	454	27.73	176.47	4,124.74
volet	115	5.001	1	453	27.73	176.65	4,129.52
mapes	106	5.001	1	454	30.09	181.31	4,549.68
nairu	90	5.000	1	384	35.43	155.94	4,270.02
rubel	128	5.000	1	456	24.91	182.53	3,926.75
ramon	129	5.000	1	478	24.72	184.00	3,937.53
remap	110	5.000	1	449	28.99	185.26	4,530.52
scaur	109	5.000	1	541	29.26	191.59	4,749.46
roach	118	5.000	1	536	27.03	199.15	4,651.87
peins	116	5.000	1	497	27.49	201.17	4,774.54
lobed	123	5.000	1	540	25.93	201.77	4,559.04
ploit	120	5.000	1	597	26.58	205.92	4,765.99
plein	123	5.000	1	522	25.93	206.78	4,689.06
ondes	107	4.999	1	391	29.80	169.96	4,177.05
varec	109	4.999	1	494	29.26	177.99	4,351.60
biled	133	4.999	1	578	23.98	210.70	4,477.16
abers	100	4.998	1	375	31.89	167.68	4,330.46
sdein	109	4.998	1	466	29.26	188.88	4,670.21
aleft	121	4.998	1	471	26.36	191.80	4,360.43
morna	125	4.998	1	478	25.51	193.14	4,276.65
round	118	4.998	1	598	27.03	209.10	4,920.53
chert	128	4.998	1	498	24.91	214.07	4,712.67
refan	113	4.997	1	408	28.22	176.09	4,172.97
lardy	118	4.997	1	451	27.03	178.38	4,090.47
alive	117	4.997	1	407	27.26	180.14	4,166.93
laked	99	4.997	1	503	32.21	182.12	4,828.87
mealy	125	4.997	1	508	25.51	194.22	4,304.17
bloat	127	4.997	1	535	25.11	202.70	4,459.41
corns	116	4.997	1	566	27.49	203.39	4,835.58
lytes	100	4.996	1	381	31.89	161.73	4,140.54
rasse	99	4.996	1	442	32.21	172.06	4,504.77
orcas	108	4.996	1	431	29.53	173.15	4,240.84
facie	114	4.996	1	412	27.97	175.71	4,132.64
panto	116	4.996	1	498	27.49	187.85	4,408.51
besit	118	4.996	1	487	27.03	199.52	4,661.67
yarns	93	4.995	1	469	34.29	173.19	4,762.77
pages	103	4.995	1	425	30.96	175.75	4,482.83
riems	108	4.995	1	408	29.53	177.22	4,360.97
frame	114	4.995	1	475	27.97	183.91	4,362.08
doyen	114	4.995	1	429	27.97	185.87	4,416.87
refit	119	4.995	1	474	26.80	190.86	4,396.45
talus	111	4.995	1	573	28.73	191.58	4,678.72
grats	115	4.995	1	553	27.73	192.75	4,575.94
togue	117	4.995	1	486	27.26	193.35	4,527.01
weald	118	4.995	1	531	27.03	198.00	4,620.69
carom	129	4.995	1	556	24.72	201.79	4,377.21
ligne	125	4.995	1	505	25.51	208.15	4,659.42
shule	117	4.995	1	532	27.26	212.54	5,050.19
resaw	108	4.994	1	406	29.53	169.75	4,140.34
acros	114	4.994	1	431	27.97	173.60	4,073.71
duras	104	4.994	1	451	30.66	176.95	4,485.72
eniac	106	4.994	1	451	30.09	178.59	4,467.70
goras	113	4.994	1	460	28.22	181.01	4,311.85
trems	108	4.994	1	441	29.53	185.31	4,599.97
meaty	114	4.994	1	504	27.97	187.62	4,465.89
tophe	114	4.994	1	449	27.97	190.70	4,552.18
dwale	114	4.994	1	531	27.97	191.64	4,578.27
laund	107	4.994	1	569	29.80	194.46	4,907.47
shoal	114	4.994	1	510	27.97	197.95	4,754.99
proin	119	4.994	1	582	26.80	204.02	4,749.19
scent	111	4.994	1	550	28.73	205.01	5,064.50
ports	117	4.994	1	595	27.26	206.71	4,891.23
boned	123	4.994	1	546	25.93	207.73	4,713.56
chose	123	4.994	1	534	25.93	210.93	4,796.67
adept	106	4.993	1	403	30.09	173.25	4,306.98
irons	104	4.993	1	485	30.66	177.76	4,510.59
avert	105	4.993	1	445	30.37	178.23	4,490.56
ludes	116	4.993	1	492	27.49	183.03	4,276.01
aloud	110	4.993	1	438	28.99	184.25	4,501.14
sayon	111	4.993	1	506	28.73	184.26	4,468.25
besot	114	4.993	1	465	27.97	190.50	4,546.53
parae	111	4.993	1	524	28.73	191.89	4,687.58
rabid	126	4.993	1	500	25.31	193.85	4,265.72
antis	124	4.993	1	540	25.72	199.00	4,456.54
muset	120	4.993	1	528	26.58	204.61	4,731.38
sered	116	4.993	1	643	27.49	212.00	5,072.46
fayer	107	4.992	1	363	29.80	161.85	3,935.48
pacey	119	4.992	1	368	26.80	179.73	4,098.40
biers	106	4.992	1	410	30.09	180.56	4,527.13
steam	109	4.992	1	475	29.26	188.03	4,645.09
seamy	112	4.992	1	504	28.47	190.66	4,618.09
skite	108	4.992	1	493	29.53	198.44	4,987.47
dropt	110	4.992	1	586	28.99	199.11	4,931.86
mured	119	4.992	1	578	26.80	206.87	4,825.54
bract	122	4.992	1	616	26.14	211.66	4,849.35
fouer	109	4.991	1	433	29.26	177.15	4,326.81
reata	107	4.991	1	455	29.80	178.13	4,420.64
ragee	108	4.991	1	546	29.53	186.16	4,624.90
moria	123	4.991	1	456	25.93	186.99	4,175.82
agent	113	4.991	1	449	28.22	187.31	4,489.80
limed	122	4.991	1	542	26.14	199.25	4,525.10
smalt	121	4.991	1	630	26.36	213.27	4,926.20
tends	111	4.990	1	465	28.73	176.24	4,237.96
parev	98	4.990	1	511	32.54	181.72	4,854.27
reing	116	4.990	1	465	27.49	192.89	4,547.16
salle	111	4.990	1	461	28.73	193.43	4,731.67
pleon	114	4.990	1	508	27.97	194.53	4,659.27
vireo	109	4.989	1	398	29.26	167.42	4,042.34
heads	115	4.989	1	393	27.73	171.74	3,993.41
soily	110	4.989	1	550	28.99	190.31	4,676.68
towse	108	4.989	1	456	29.53	192.34	4,807.58
loins	113	4.989	1	577	28.22	195.14	4,710.70
crare	111	4.989	1	505	28.73	196.20	4,811.28
tahrs	107	4.989	1	561	29.80	197.28	4,991.48
fired	124	4.989	1	561	25.72	201.76	4,527.36
tuans	117	4.989	1	602	27.26	210.29	4,988.70
amber	117	4.988	1	478	27.26	182.18	4,222.64
koine	104	4.988	1	485	30.66	186.39	4,775.18
argil	124	4.988	1	477	25.72	188.76	4,193.17
percs	114	4.988	1	477	27.97	194.08	4,646.62
steer	116	4.988	1	556	27.49	195.62	4,622.08
mulie	121	4.988	1	496	26.36	198.10	4,526.30
suona	114	4.988	1	497	27.97	202.30	4,876.62
spail	120	4.988	1	556	26.58	204.99	4,741.43
durst	114	4.988	1	598	27.97	208.56	5,051.74
oaken	97	4.987	1	312	32.88	157.75	4,105.47
alods	109	4.987	1	436	29.26	173.23	4,212.30
sofar	109	4.987	1	482	29.26	185.17	4,561.66
grano	129	4.987	1	495	24.72	193.12	4,163.08
treys	100	4.986	1	436	31.89	172.63	4,488.10
oracy	109	4.986	1	453	29.26	175.98	4,292.74
lyard	104	4.986	1	451	30.66	179.87	4,575.18
poney	116	4.986	1	429	27.49	190.32	4,476.28
gomer	120	4.986	1	513	26.58	193.60	4,438.64
plues	122	4.986	1	509	26.14	198.96	4,517.43
guile	123	4.986	1	528	25.93	209.99	4,772.25
owrie	101	4.985	1	381	31.57	167.31	4,285.63
nache	105	4.985	1	435	30.37	181.06	4,576.52
incle	109	4.985	1	427	29.26	181.13	4,443.42
strew	107	4.985	1	512	29.80	183.18	4,571.22
tragi	111	4.985	1	497	28.73	184.79	4,483.71
waned	125	4.985	1	525	25.51	195.43	4,334.86
prion	122	4.985	1	582	26.14	206.76	4,721.42
point	124	4.985	1	683	25.72	224.52	5,112.65
shyer	102	4.984	1	394	31.27	169.70	4,328.21
urnal	106	4.984	1	431	30.09	170.76	4,232.19
genas	113	4.984	1	433	28.22	184.80	4,418.84
heaty	120	4.984	1	500	26.58	187.18	4,268.19
feist	126	4.984	1	520	25.31	215.68	4,818.12
idles	102	4.983	1	445	31.27	167.68	4,264.88
meads	108	4.983	1	428	29.53	177.46	4,368.06
sayid	98	4.983	1	478	32.54	178.14	4,737.80
breis	110	4.983	1	410	28.99	179.80	4,371.97
grues	113	4.983	1	466	28.22	179.82	4,278.21
today	108	4.983	1	454	29.53	180.56	4,459.56
rhime	107	4.983	1	467	29.80	185.83	4,650.29
brake	119	4.983	1	485	26.80	187.87	4,316.48
ramin	120	4.983	1	501	26.58	188.67	4,307.78
doeth	104	4.983	1	466	30.66	193.08	4,980.22
duper	125	4.983	1	555	25.51	200.51	4,464.43
gable	120	4.983	1	511	26.58	209.03	4,848.61
aegis	106	4.982	1	343	30.09	163.56	4,015.44
eales	102	4.982	1	461	31.27	170.53	4,354.12
abide	108	4.982	1	393	29.53	173.35	4,246.82
rewan	114	4.982	1	429	27.97	179.89	4,249.66
luger	124	4.982	1	439	25.72	180.84	3,989.48
roman	127	4.982	1	478	25.11	192.05	4,191.86
stude	109	4.982	1	513	29.26	192.44	4,774.37
brats	110	4.982	1	559	28.99	197.34	4,880.70
loric	107	4.981	1	484	29.80	177.24	4,394.29
whare	121	4.981	1	455	26.36	185.54	4,195.45
nagor	121	4.981	1	495	26.36	188.24	4,266.58
derig	112	4.981	1	537	28.47	193.19	4,690.12
geare	104	4.981	1	546	30.66	194.66	5,028.78
treif	114	4.981	1	474	27.97	196.84	4,723.78
niced	114	4.981	1	529	27.97	198.37	4,766.71
pusle	125	4.981	1	517	25.51	217.70	4,903.11
rayls	106	4.980	1	439	30.09	172.98	4,298.89
nudie	115	4.980	1	472	27.73	189.27	4,479.66
trags	110	4.980	1	553	28.99	192.93	4,752.61
acold	111	4.980	1	528	28.73	193.86	4,744.23
trite	115	4.980	1	525	27.73	194.40	4,621.69
corni	115	4.980	1	584	27.73	202.29	4,840.54
token	103	4.979	1	428	30.96	177.35	4,532.25
opted	110	4.979	1	467	28.99	182.99	4,464.55
rolag	110	4.979	1	454	28.99	183.51	4,479.75
anele	107	4.979	1	483	29.80	184.41	4,607.80
geits	117	4.979	1	487	27.26	196.49	4,612.70
ounce	114	4.979	1	515	27.97	199.03	4,785.17
beare	112	4.979	1	567	28.47	199.37	4,866.00
glean	126	4.979	1	468	25.31	199.57	4,410.48
erupt	115	4.979	1	491	27.73	202.41	4,843.88
rorie	98	4.978	1	406	32.54	169.23	4,448.11
serow	110	4.978	1	444	28.99	182.18	4,441.08
deman	126	4.978	1	456	25.31	187.11	4,095.21
boras	118	4.978	1	470	27.03	187.15	4,327.53
arett	111	4.978	1	455	28.73	190.47	4,646.63
lawed	110	4.978	1	531	28.99	192.51	4,740.43
canti	109	4.978	1	575	29.26	198.11	4,940.14
dulce	121	4.978	1	536	26.36	199.75	4,569.90
pouce	111	4.978	1	546	28.73	209.59	5,196.05
rumen	117	4.977	1	462	27.26	183.84	4,267.97
rared	111	4.977	1	544	28.73	192.33	4,700.32
raths	103	4.977	1	561	30.96	193.31	5,026.62
bagel	124	4.977	1	511	25.72	198.82	4,451.86
plain	126	4.977	1	591	25.31	210.31	4,682.25
hoist	117	4.977	1	677	27.26	227.19	5,449.49
tynes	101	4.976	1	376	31.57	168.77	4,331.99
helio	105	4.976	1	414	30.37	169.92	4,238.16
leres	105	4.976	1	503	30.37	182.08	4,607.59
leone	100	4.976	1	501	31.89	182.61	4,806.50
latte	114	4.976	1	447	27.97	182.97	4,335.94
daube	110	4.975	1	432	28.99	182.75	4,457.63
cower	112	4.975	1	510	28.47	193.58	4,701.02
pules	122	4.975	1	509	26.14	199.59	4,533.76
coits	112	4.975	1	599	28.47	202.43	4,953.03
reest	124	4.975	1	556	25.72	210.61	4,754.91
spule	121	4.975	1	517	26.36	216.62	5,014.41
shent	129	4.975	1	607	24.72	232.27	5,130.77
ocean	108	4.974	1	383	29.53	171.90	4,203.88
gapes	104	4.974	1	425	30.66	176.57	4,474.05
dunes	116	4.974	1	502	27.49	189.95	4,466.11
reame	107	4.974	1	546	29.80	192.02	4,834.53
lions	111	4.974	1	577	28.73	198.10	4,865.85
splat	127	4.974	1	616	25.11	217.89	4,840.76
eidos	108	4.973	1	427	29.53	170.35	4,158.19
ramis	110	4.973	1	460	28.99	177.80	4,314.05
pards	106	4.973	1	505	30.09	184.50	4,645.49
treat	117	4.973	1	455	27.26	193.50	4,531.28
lodge	121	4.973	1	525	26.36	197.66	4,514.89
brand	120	4.973	1	568	26.58	200.23	4,614.83
courd	125	4.973	1	660	25.51	222.69	5,030.31
motey	111	4.972	1	377	28.73	180.32	4,355.08
bagie	118	4.972	1	421	27.03	186.34	4,305.60
tapis	118	4.972	1	575	27.03	201.83	4,724.21
swile	117	4.972	1	496	27.26	202.28	4,770.48
wired	117	4.972	1	577	27.26	207.85	4,922.41
abode	105	4.971	1	374	30.37	169.27	4,218.58
tyers	106	4.971	1	436	30.09	179.90	4,507.30
ruble	130	4.971	1	456	24.53	190.28	4,065.90
cirls	109	4.971	1	508	29.26	191.31	4,741.22
darer	110	4.971	1	544	28.99	192.26	4,733.43
audit	115	4.971	1	464	27.73	195.01	4,638.82
pilot	117	4.971	1	597	27.26	209.06	4,955.22
wrast	122	4.971	1	605	26.14	212.71	4,876.82
lycea	106	4.970	1	340	30.09	161.42	3,951.32
lover	117	4.970	1	454	27.26	176.05	4,055.54
under	115	4.970	1	479	27.73	181.13	4,253.71
genoa	114	4.970	1	365	27.97	182.84	4,332.06
toter	109	4.970	1	495	29.26	183.48	4,512.03
feals	107	4.970	1	432	29.80	187.48	4,699.26
paged	111	4.970	1	514	28.73	193.23	4,726.16
lurid	111	4.970	1	502	28.73	193.57	4,735.82
moats	115	4.970	1	538	27.73	195.46	4,651.24
sadly	117	4.970	1	574	27.26	197.33	4,635.64
smelt	117	4.970	1	518	27.26	204.18	4,822.31
treed	124	4.970	1	652	25.72	221.81	5,042.94
suint	128	4.970	1	775	24.91	256.66	5,773.84
regos	112	4.969	1	398	28.47	172.04	4,087.77
acker	97	4.969	1	450	32.88	173.30	4,616.46
enate	104	4.969	1	463	30.66	178.74	4,540.61
creds	106	4.969	1	463	30.09	181.01	4,540.66
fouet	115	4.969	1	429	27.73	186.62	4,406.18
diols	115	4.969	1	517	27.73	188.12	4,447.54
bouse	117	4.969	1	542	27.26	205.91	4,869.34
maker	99	4.968	1	468	32.21	175.99	4,631.42
frena	110	4.968	1	408	28.99	179.20	4,354.77
huies	105	4.968	1	422	30.37	182.17	4,610.20
herma	121	4.968	1	412	26.36	185.30	4,189.01
demot	123	4.968	1	479	25.93	186.98	4,175.66
blame	121	4.968	1	496	26.36	202.51	4,642.53
eldin	117	4.968	1	489	27.26	202.97	4,789.28
mined	127	4.968	1	563	25.11	213.83	4,738.70
paver	106	4.967	1	511	30.09	185.76	4,683.51
cunei	107	4.967	1	416	29.80	186.85	4,680.61
bepat	116	4.967	1	431	27.49	192.94	4,548.42
scope	115	4.967	1	495	27.73	196.44	4,678.41
parly	123	4.967	1	539	25.93	197.74	4,454.49
tansu	106	4.967	1	602	30.09	202.00	5,171.98
cimar	121	4.967	1	548	26.36	204.33	4,690.48
grand	125	4.967	1	578	25.51	206.45	4,616.14
paoli	103	4.966	1	367	30.96	176.93	4,519.22
ankle	107	4.966	1	424	29.80	180.79	4,499.97
tante	111	4.966	1	463	28.73	189.02	4,605.08
geoid	114	4.966	1	459	27.97	189.37	4,514.94
roked	104	4.966	1	518	30.66	190.14	4,890.18
poyse	109	4.966	1	509	29.26	194.28	4,828.08
lepid	116	4.966	1	554	27.49	204.10	4,855.34
menil	116	4.966	1	520	27.49	204.79	4,874.09
coram	129	4.966	1	556	24.72	210.05	4,581.41
versa	108	4.965	1	429	29.53	176.74	4,346.90
pecia	109	4.965	1	359	29.26	181.21	4,445.57
matlo	113	4.965	1	511	28.22	192.01	4,622.31
cohen	117	4.965	1	449	27.26	197.55	4,641.64
dorty	115	4.965	1	552	27.73	197.71	4,713.59
surah	119	4.965	1	538	26.80	207.70	4,847.82
uteri	101	4.964	1	391	31.57	165.91	4,241.65
lords	103	4.964	1	428	30.96	173.50	4,413.30
bines	106	4.964	1	469	30.09	187.82	4,745.49
hails	107	4.964	1	545	29.80	192.03	4,834.91
eusol	100	4.964	1	544	31.89	192.26	5,114.16
sowar	110	4.964	1	506	28.99	192.30	4,734.59
creak	118	4.964	1	450	27.03	199.51	4,661.47
spent	123	4.964	1	555	25.93	219.34	5,014.47
auges	106	4.963	1	345	30.09	174.25	4,337.27
diram	118	4.963	1	491	27.03	190.58	4,420.06
halid	115	4.963	1	553	27.73	196.63	4,683.80
monde	119	4.963	1	511	26.80	198.97	4,613.93
rebid	123	4.963	1	535	25.93	202.37	4,574.60
blast	122	4.963	1	648	26.14	224.88	5,194.96
youse	91	4.962	1	523	35.04	182.21	5,157.25
weals	105	4.962	1	420	30.37	187.65	4,776.90
naily	108	4.962	1	555	29.53	193.37	4,837.95
palis	126	4.962	1	556	25.31	200.53	4,434.72
pease	112	4.962	1	530	28.47	204.32	5,006.95
sweat	117	4.962	1	498	27.26	205.14	4,848.53
parcs	118	4.962	1	596	27.03	209.08	4,920.09
cauld	121	4.962	1	641	26.36	215.08	4,973.85
thein	122	4.962	1	569	26.14	216.43	4,974.10
voile	114	4.961	1	445	27.97	184.54	4,379.69
soken	101	4.961	1	419	31.57	186.71	4,898.19
spial	117	4.961	1	556	27.26	210.12	4,984.12
dript	115	4.961	1	617	27.73	212.43	5,121.94
giant	131	4.961	1	621	24.34	219.54	4,751.74
ahint	121	4.961	1	594	26.36	219.72	5,096.31
ofter	106	4.960	1	443	30.09	173.05	4,300.95
aidos	111	4.960	1	416	28.73	173.76	4,166.79
pardi	105	4.960	1	468	30.37	179.63	4,533.13
